time;GAST;deltaT;deltaTabs
-190000000;20.14937592;-0.06577301;0.06577301
-189000000;19.84511471;-0.304261208;0.304261208
-188000000;19.51554585;-0.329568863;0.329568863
-187000000;19.18524647;-0.330299377;0.330299377
-186000000;18.85547066;-0.32977581;0.32977581
-185000000;18.61128712;-0.24418354;0.24418354
-184000000;19.25561142;0.644324303;0.644324303
-183000000;19.98914337;0.733531952;0.733531952
-182000000;20.72128296;0.732139587;0.732139587
-181000000;21.45167732;0.730394363;0.730394363
-180000000;22.13174152;0.680064201;0.680064201
-179000000;22.34030437;0.208562851;0.208562851
-178000000;22.49545193;0.155147552;0.155147552
-177000000;22.64976883;0.154316902;0.154316902
-176000000;22.79991055;0.150141716;0.150141716
-175000000;22.90765667;0.107746124;0.107746124
-174000000;22.5746727;-0.332983971;0.332983971
-173000000;22.19612789;-0.378544807;0.378544807
-172000000;21.81617737;-0.379950523;0.379950523
-171000000;21.43479824;-0.381379128;0.381379128
-170000000;21.07449055;-0.360307693;0.360307693
-169000000;20.96262264;-0.111867905;0.111867905
-168000000;20.87233925;-0.090283394;0.090283394
-167000000;20.78212738;-0.090211868;0.090211868
-166000000;20.68890953;-0.09321785;0.09321785
-165000000;20.57756901;-0.111340523;0.111340523
-164000000;20.28844166;-0.28912735;0.28912735
-163000000;19.98163509;-0.306806564;0.306806564
-162000000;19.67262936;-0.309005737;0.309005737
-161000000;19.36296463;-0.309664726;0.309664726
-160000000;19.10726929;-0.255695343;0.255695343
-159000000;19.42853069;0.321261406;0.321261406
-158000000;19.80440521;0.375874519;0.375874519
-157000000;20.17477226;0.37036705;0.37036705
-156000000;20.54549599;0.370723724;0.370723724
-155000000;20.8555479;0.310051918;0.310051918
-154000000;20.57436085;-0.281187057;0.281187057
-153000000;20.23331642;-0.341044426;0.341044426
-152000000;19.89016438;-0.343152046;0.343152046
-151000000;19.54730034;-0.342864037;0.342864037
-150000000;19.20246696;-0.344833374;0.344833374
-149000000;18.87296295;-0.329504013;0.329504013
-148000000;18.53953552;-0.333427429;0.333427429
-147000000;18.20694542;-0.332590103;0.332590103
-146000000;17.87164021;-0.335305214;0.335305214
-145000000;17.58092403;-0.290716171;0.290716171
-144000000;17.73070621;0.149782181;0.149782181
-143000000;17.92410374;0.193397522;0.193397522
-142000000;18.1171627;0.193058968;0.193058968
-141000000;18.31024456;0.193081856;0.193081856
-140000000;18.48781109;0.177566528;0.177566528
-139000000;18.5395956;0.051784515;0.051784515
-138000000;18.57454681;0.03495121;0.03495121
-137000000;18.60766029;0.03311348;0.03311348
-136000000;18.63921928;0.03155899;0.03155899
-135000000;18.69480419;0.055584908;0.055584908
-134000000;19.00247192;0.307667732;0.307667732
-133000000;19.33389664;0.331424713;0.331424713
-132000000;19.66360378;0.329707146;0.329707146
-131000000;19.99286652;0.329262733;0.329262733
-130000000;20.30582142;0.312954903;0.312954903
-129000000;20.47599697;0.170175552;0.170175552
-128000000;20.62744045;0.151443481;0.151443481
